study_id,facet,code,character,finder_group,review_status
cov2243,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov2243,sample_type,BLOOD,BLOOD,,draft
cov2243,sample_type,FECES,FECAL,,draft
cov2247,organism,FISH,,Fish,draft
cov2247,sample_type,GI_TRACT,GUT,,draft
cov2247,sample_type,GILL,PROTEIN,,draft
cov2247,sample_type,MUSCLE,PROTEIN,,draft
cov2247,sample_type,ORGAN,PROTEIN,,draft
cov2247,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov2265,organism,BIVALVE,,Bivalve,reviewed
cov2265,organism,CRUSTACEAN,,Crustacean,reviewed
cov2265,organism,FISH,,Fish,reviewed
cov2265,sample_type,GI_TRACT,GUT,,reviewed
cov2265,sample_type,MUSCLE,PROTEIN,,reviewed
cov2265,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2265,environment_sample,SEDIMENT,,,reviewed
cov2290,organism,HUMAN,,Human,reviewed
cov2290,sample_type,MILK,LIPID_FLUID,,reviewed
cov2295,organism,BIVALVE,,Bivalve,reviewed
cov2295,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2313,organism,FISH,,Fish,draft
cov2313,sample_type,GI_TRACT,GUT,,draft
cov2313,sample_type,GILL,PROTEIN,,draft
cov2313,sample_type,MUSCLE,PROTEIN,,draft
cov2315,organism,HUMAN,,Human,reviewed
cov2315,sample_type,BLOOD,BLOOD,,reviewed
cov2333,organism,CRUSTACEAN,,Crustacean,reviewed
cov2333,organism,FISH,,Fish,reviewed
cov2333,organism,CEPHALOPOD,,Other invertebrate,reviewed
cov2333,sample_type,GI_TRACT,GUT,,reviewed
cov2333,sample_type,GILL,PROTEIN,,reviewed
cov2333,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2337,organism,INSECT,,Other invertebrate,draft
cov2337,sample_type,GI_TRACT,GUT,,draft
cov2337,sample_type,FECES,FECAL,,draft
cov2338,organism,HUMAN,,Human,draft
cov2338,sample_type,FECES,FECAL,,draft
cov2339,organism,ANNELID,,Other invertebrate,draft
cov2339,sample_type,GI_CONTENTS,GUT,,draft
cov2339,sample_type,GI_TRACT,GUT,,draft
cov2339,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2341,organism,MAMMAL,,Mammal (non-human),reviewed
cov2341,sample_type,MILK,LIPID_FLUID,,reviewed
cov2341,sample_type,FOOD,FOOD,,reviewed
cov2344,organism,HUMAN,,Human,draft
cov2344,sample_type,BODY_FLUID,AQUEOUS,,draft
cov2363,organism,FISH,,Fish,draft
cov2363,sample_type,GI_TRACT,GUT,,draft
cov2363,sample_type,GILL,PROTEIN,,draft
cov2363,sample_type,MUSCLE,PROTEIN,,draft
cov2368,organism,BIVALVE,,Bivalve,reviewed
cov2368,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2375,organism,FISH,,Fish,reviewed
cov2375,organism,MAMMAL,,Mammal (non-human),reviewed
cov2375,sample_type,GI_CONTENTS,GUT,,reviewed
cov2375,sample_type,GI_TRACT,GUT,,reviewed
cov2375,sample_type,MUSCLE,PROTEIN,,reviewed
cov2375,sample_type,FECES,FECAL,,reviewed
cov2396,organism,HUMAN,,Human,draft
cov2396,sample_type,BODY_FLUID,AQUEOUS,,draft
cov2416,organism,FISH,,Fish,draft
cov2416,sample_type,GI_TRACT,GUT,,draft
cov2416,sample_type,GILL,PROTEIN,,draft
cov2416,sample_type,MUSCLE,PROTEIN,,draft
cov2418,organism,FISH,,Fish,draft
cov2418,sample_type,MUSCLE,PROTEIN,,draft
cov2418,sample_type,ORGAN,PROTEIN,,draft
cov2418,sample_type,SKELETAL,MINERAL,,draft
cov2428,organism,MAMMAL,,Mammal (non-human),draft
cov2428,sample_type,GI_CONTENTS,GUT,,draft
cov2439,organism,FISH,,Fish,draft
cov2439,sample_type,GI_TRACT,GUT,,draft
cov2439,sample_type,MUSCLE,PROTEIN,,draft
cov2439,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2439,sample_type,ORGAN,PROTEIN,,draft
cov2443,organism,NEMATODE,,Other invertebrate,reviewed
cov2443,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2443,environment_sample,SEDIMENT,,,reviewed
cov2451,organism,FISH,,Fish,draft
cov2451,sample_type,GI_TRACT,GUT,,draft
cov2451,sample_type,GILL,PROTEIN,,draft
cov2451,sample_type,ORGAN,PROTEIN,,draft
cov2470,organism,MAMMAL,,Mammal (non-human),draft
cov2470,sample_type,GI_CONTENTS,GUT,,draft
cov2470,sample_type,GI_TRACT,GUT,,draft
cov2470,sample_type,ORGAN,PROTEIN,,draft
cov2487,organism,BIVALVE,,Bivalve,reviewed
cov2487,organism,INSECT,,Other invertebrate,reviewed
cov2487,organism,ANNELID,,Other invertebrate,reviewed
cov2487,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov2487,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2487,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2522,organism,HUMAN,,Human,draft
cov2522,sample_type,BODY_FLUID,AQUEOUS,,draft
cov2522,sample_type,FECES,FECAL,,draft
cov2543,organism,FISH,,Fish,draft
cov2543,sample_type,GI_TRACT,GUT,,draft
cov2543,sample_type,GILL,PROTEIN,,draft
cov2543,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2555,organism,FISH,,Fish,draft
cov2555,sample_type,GI_TRACT,GUT,,draft
cov2568,organism,CRUSTACEAN,,Crustacean,reviewed
cov2568,organism,FISH,,Fish,reviewed
cov2568,sample_type,MUSCLE,PROTEIN,,reviewed
cov2587,organism,HUMAN,,Human,reviewed
cov2587,organism,CELL_CULTURE,,Cell culture,reviewed
cov2587,sample_type,CELLS,CELLS,,reviewed
cov2609,organism,HUMAN,,Human,reviewed
cov2609,organism,CELL_CULTURE,,Cell culture,reviewed
cov2609,sample_type,CELLS,CELLS,,reviewed
cov2630,organism,INSECT,,Other invertebrate,draft
cov2630,organism,PLANT,,Plant or alga,draft
cov2630,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2630,sample_type,PLANT_TISSUE,PLANT,,draft
cov2659,organism,CRUSTACEAN,,Crustacean,reviewed
cov2659,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2670,organism,HUMAN,,Human,draft
cov2670,sample_type,FECES,FECAL,,draft
cov2671,organism,AMPHIBIAN,,Other vertebrate,draft
cov2671,sample_type,GI_CONTENTS,GUT,,draft
cov2671,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2673,organism,MAMMAL,,Mammal (non-human),reviewed
cov2673,sample_type,PRIMARY_CELLS,CELLS,,reviewed
cov2704,organism,HUMAN,,Human,reviewed
cov2704,organism,CELL_CULTURE,,Cell culture,reviewed
cov2704,sample_type,GI_TRACT,GUT,,reviewed
cov2704,sample_type,ORGAN,PROTEIN,,reviewed
cov2704,sample_type,CELLS,CELLS,,reviewed
cov2706,organism,BIVALVE,,Bivalve,draft
cov2706,sample_type,GI_TRACT,GUT,,draft
cov2706,sample_type,GILL,PROTEIN,,draft
cov2780,organism,FISH,,Fish,draft
cov2780,sample_type,GI_TRACT,GUT,,draft
cov2780,sample_type,GILL,PROTEIN,,draft
cov2790,organism,CNIDARIAN,,Other invertebrate,reviewed
cov2790,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1648,organism,MAMMAL,,Mammal (non-human),draft
cov1648,sample_type,GI_CONTENTS,GUT,,draft
cov1648,sample_type,GI_TRACT,GUT,,draft
cov2803,organism,FISH,,Fish,draft
cov2803,sample_type,MUSCLE,PROTEIN,,draft
cov2803,environment_sample,FRESHWATER,,,draft
cov2806,organism,FISH,,Fish,reviewed
cov2806,sample_type,GI_TRACT,GUT,,reviewed
cov2806,sample_type,MUSCLE,PROTEIN,,reviewed
cov1208,organism,ANNELID,,Other invertebrate,reviewed
cov1208,organism,NEMATODE,,Other invertebrate,reviewed
cov1208,organism,ALGA,,Plant or alga,reviewed
cov1208,organism,MICROBE,,Other,reviewed
cov1208,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1208,sample_type,PLANT_TISSUE,PLANT,,reviewed
cov2816,organism,PLANT,,Plant or alga,reviewed
cov2816,organism,FISH,,Fish,reviewed
cov2816,organism,FOOD_PRODUCT,,Food product,reviewed
cov2816,sample_type,FOOD,FOOD,,reviewed
cov2823,organism,BIVALVE,,Bivalve,reviewed
cov2823,organism,CRUSTACEAN,,Crustacean,reviewed
cov2823,organism,ZOOPLANKTON,,Other invertebrate,reviewed
cov2823,organism,ALGA,,Plant or alga,reviewed
cov2823,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2823,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2823,sample_type,PLANT_TISSUE,PLANT,,reviewed
cov2823,sample_type,FECES,FECAL,,reviewed
cov2823,environment_sample,FRESHWATER,,,reviewed
cov2846,organism,CNIDARIAN,,Other invertebrate,draft
cov2846,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2846,sample_type,FECES,FECAL,,draft
cov2846,environment_sample,SEAWATER,,,draft
cov2881,organism,FISH,,Fish,draft
cov2881,sample_type,GI_TRACT,GUT,,draft
cov2900,organism,BIRD,,Bird,draft
cov2900,sample_type,FECES,FECAL,,draft
cov2939,organism,BIVALVE,,Bivalve,draft
